Temporada; Episodio; Nome
1;1;Kenshin Battousai, o Espadachim Legendário
1;2;O Aluno Rebelde
1;3;O Homem Que Deixou o Passado
1;4;O Lutador Sanosuke
1;5;Kenshin contra Zanza
1;6;O Visitante Que Veio Das Trevas
1;7;A Grande Luta
1;8;A Mulher Misteriosa
1;9;Uma Gangue Poderosa
1;10;A Tentativa de um Resgate
1;11;Uma Colisão Entre a Luz e as Trevas
1;12;O Nascimento de Um Espadachim
1;13;O Lutador de Sumô
1;14;A Médica Nova na Cidade
1;15;Os Retalhadores Legendários
1;16;A Hora da Verdade
1;17;Marimo, o Canhão Humano
1;18;A Luta de Yahiko
1;19;A Fantasia do Reino Proibido
1;20;A Volta do Estilo Shinko
1;21;A Ambição de Raijuuta
1;22;A Viagem de Trem
1;23;Sanosuke Volta ao Passado
1;24;Kenshin Contra Sanosuke
1;25;O Navio Pirata
1;26;A Famosa Pirata Shura
1;27;O Fim dos Piratas
2;28;O Retorno do Lobo
2;29;O Inimigo Mais Poderoso
2;30;A Vingança do Vilão
2;31;A Despedida de Kenshin
2;32;A Vida Sem Kenshin
2;33;À Procura de Kenshin
2;34;Uma Garota Valente
2;35;A Cidade Roubada
2;36;O Encontro de Shishio e Kenshin
2;37;Sojiro Versus Kenshin
2;38;O Treinamento de Sanosuke
2;39;A Espada Mais Poderosa
2;40;A Luta Fatal
2;41;O Encontro Com o Mestre
2;42;A Traição de Aoshi
2;43;Entre a Vida e a Morte
2;44;A Gangue Mais Poderosa
2;45;A Fuga de Shishio
2;46;O Navio de Aço
2;47;O Encontro da Gangue
2;48;O Passado de Anji
2;49;Os Olhos do Coração
2;50;Hora de Honrar a Promessa
2;51;O Duelo Continua
2;52;O Ataque a Aoiya
2;53;O Gigante versus o Super-Homem
2;54;O Paraíso Contra a Terra
2;55;O Passado de Sojiro
2;56;A Última Batalha de Sojiro
2;57;A Batalha Final
2;58;A Batalha Continua
2;59;A Luta Continua
2;60;Uma Luta Sem Vencedor
2;61;O Destino do Grupo Juppongatana
2;62;A Volta ao Lar
3;63;A Garota do Espadachim
3;64;Príncipe Por um Dia
3;65;O Cachorro Famoso
3;66;O Anel de Noivado
3;67;A Espada Lendária
3;68;A Profecia se Cumprirá
3;69;O Momento da Verdade
3;70;Kenshin Nas Trevas
3;71;A Traição
3;72;O Passado Triste de Shogo e Sayo
3;73;O Plano Para Matar
3;74;A Tristeza de Sanosuke
3;75;A Última Guerra Santa
3;76;Uma Nova Chance
3;77;Falsa Identidade?
3;78;O Artista
3;79;Aprendendo a Lutar
3;80;O Treinamento
3;81;Acontecimento em Shiragaya
3;82;Mais Precioso Que o Dinheiro
3;83;O Elixir Milagroso
3;84;Bálsamo Divino
3;85;A Armadilha Está Pronta
3;86;Dia Vermelho
3;87;O Fim dos Cavaleiros Negros
3;88;Promessa Eterna
3;89;Entrega Para Meu Anjo
3;90;O Mistério do Pentagrama
3;91;Próximo Alvo
3;92;Lei Marcial
3;93;O Inimigo Aguarda
3;94;O Desenlace Final
3;95;O Fim do Verão (Inédito no Brasil)
