CMDLINE python exemplo_03.py
MEM 0.437500 1653961501.1453
MEM 17.371094 1653961501.2456
MEM 43.707031 1653961501.3460
MEM 43.707031 1653961501.4463
MEM 43.707031 1653961501.5469
MEM 43.707031 1653961501.6473
MEM 43.707031 1653961501.7477
MEM 43.707031 1653961501.8486
MEM 43.707031 1653961501.9491
MEM 43.707031 1653961502.0498
MEM 43.707031 1653961502.1503
MEM 43.707031 1653961502.2509
MEM 43.707031 1653961502.3516
MEM 43.707031 1653961502.4521
MEM 43.707031 1653961502.5525
MEM 43.707031 1653961502.6529
MEM 43.707031 1653961502.7535
MEM 43.707031 1653961502.8550
MEM 43.707031 1653961502.9557
MEM 43.707031 1653961503.0561
MEM 43.707031 1653961503.1566
MEM 43.707031 1653961503.2572
MEM 43.707031 1653961503.3582
MEM 43.707031 1653961503.4590
MEM 43.707031 1653961503.5596
MEM 43.707031 1653961503.6602
MEM 43.707031 1653961503.7607
MEM 43.707031 1653961503.8614
MEM 43.707031 1653961503.9618
MEM 43.707031 1653961504.0624
MEM 43.707031 1653961504.1630
MEM 43.707031 1653961504.2636
MEM 59.175781 1653961504.3639
MEM 49.269531 1653961504.4643
MEM 49.269531 1653961504.5650
MEM 49.269531 1653961504.6655
MEM 49.269531 1653961504.7660
MEM 49.269531 1653961504.8665
MEM 49.269531 1653961504.9671
MEM 49.269531 1653961505.0677
MEM 49.269531 1653961505.1683
MEM 49.269531 1653961505.2688
MEM 49.269531 1653961505.3693
MEM 49.269531 1653961505.4698
MEM 49.269531 1653961505.5707
MEM 49.269531 1653961505.6712
MEM 49.269531 1653961505.7720
MEM 49.269531 1653961505.8728
MEM 49.269531 1653961505.9735
MEM 49.269531 1653961506.0744
MEM 49.269531 1653961506.1751
MEM 49.269531 1653961506.2768
MEM 49.269531 1653961506.3772
MEM 49.269531 1653961506.4779
MEM 49.269531 1653961506.5790
MEM 49.269531 1653961506.6795
MEM 49.269531 1653961506.7801
MEM 49.269531 1653961506.8806
MEM 49.269531 1653961506.9811
MEM 49.269531 1653961507.0818
MEM 49.269531 1653961507.1824
MEM 49.269531 1653961507.2834
MEM 51.843750 1653961507.3840
MEM 71.468750 1653961507.4849
