tema;data;link;duration;tags
Introdução a observabilidade com OpenTelemetry | Live de Python #261;20240311;http://youtu.be/9mifCIFhtIQ;8315;Python, dunossauro, live de python, Opentelemetry, FastAPI, Sqlalchemy, grafana, tempo, observabilidade, jeager, loki, Prometheus
Criando desenhos com py5: programação criativa com @AlexandreVillares |  Live de Python #260;20240305;http://youtu.be/dAnIWmJ-2NI;7466;Python, dunossauro, live de python, Programação criativa, py5, processing
FastUI: Server-Driven User Interface com Pydantic e FastAPI | Live de Python #259;20240226;http://youtu.be/5gpLQa_N2iA;8561;Python, dunossauro, live de python, FastUI, Pydantic, FastAPI, Web, Backend, Frontend
SQLAlchemy: conceitos básicos, uma introdução a versão 2 | Live de Python #258;20240219;http://youtu.be/t4C1c62Z4Ag;8470;Python, dunossauro, live de python, pip, poetry, hatch, pdm, setuptools, rye, pyproject, pyproject.toml, build-system, pypi
Entendendo o arquivo pyproject.toml | Live de Python #257;20240212;http://youtu.be/6p1HKaHrk0Y;7930;Python, dunossauro, live de python, pip, poetry, hatch, pdm, setuptools, rye, pyproject, pyproject.toml, build-system, pypi
Monitorando spiders de Scrapy com Spidermon com Renne Rocha | Live de Python #256;20240206;http://youtu.be/feRJ9rGH-zc;7612;Python, dunossauro, live de python, raspagem de dados, scrapy, monitoramento, spidermon, web scrapping
Memento - Padrões de Projeto #7 | Live de Python #255;20240129;http://youtu.be/96V1IuEYKxY;6930;Python, dunossauro, live de python, Padrões de projeto, Memento, Undo, redo, rollback, checkpoint
FastAPI e Identidade com @jesstemporal  | Live de Python #254;20240123;http://youtu.be/DeVCIU1JERc;12150;Python, dunossauro, live de python, FastAPI, Auth0, Jessica, Temporal, Login, Credenciais, Identidade
Pergunte o que quiser sobre Python | Live de Python #253;20240115;http://youtu.be/77gO89ywTQQ;7530;Python, dunossauro, live de python
Retrospectiva 2023 |  Live de Python;20240109;http://youtu.be/z6T2bIy78F4;4790;Python, dunossauro, live de python
Funções em Python parte 3 - Funções como objetos, composição de funções e classe função | Live #252;20231218;http://youtu.be/jTdYBT67YCU;7230;Python, dunossauro, função, funções, parâmetros, argumentos, parâmetros nomeados, Posicionais, nomeados, anotação de tipos, subprogramas, geradores
Funções em Python parte 2 - Geradores, Corrotinas e Objetos| Live #251;20231207;http://youtu.be/BzrmzgSxDaY;7385;Python, dunossauro, função, funções, parâmetros, argumentos, parâmetros nomeados, Posicionais, nomeados, anotação de tipos, subprogramas, geradores
Funções em Python | Live #250;20231122;http://youtu.be/0yXPQZvlgrk;7160;Python, dunossauro, função, funções, parâmetros, argumentos, parâmetros nomeados, Posicionais, nomeados, anotação de tipos, subprogramas, geradores
Me pergunte o que quiser sobre Python | Live #249;20231109;http://youtu.be/UNw-OFqhN1c;7920;Python, FAQ, Pergunte o que quiser
Pydub: Manipulação de Áudio em Python | Live #248;20231024;http://youtu.be/AVSMV08iQY0;7780;Python, Pydub, Manipulação de áudio, Edição de áudio, Engenharia de som, Técnicas de processamento de áudio, Fade-in e fade-out, Detecção de silêncio, Síntese sonora, Programação em Python, Live de Python, Edição de áudio com Python, scipy, Configuração Pydub, Aprenda Python, Biblioteca Python para áudio, Transformações sonoras, Programação sonora, Tutorial de Pydub, Audio processing
Novidades na Versão 3.12 do Python | Live de Python #247;20231011;http://youtu.be/yyzIPQsa98A;7780;python, 3.12, novidades, whats new, f-strings, ImportError, pdb, itertools batched, math sum prod, tempfile, runtime_checkable, override, generics
TinyDB o incrível e pequeno banco de dados de documentos | Live de Python #246;20230925;http://youtu.be/vIUeTkfW1JQ;7017;Python, TinyDB, Banco de Dados, Documentos, NoSQL
Python? Pergunte o que quiser | Live de Python #245;20230911;http://youtu.be/Psp64rR1rPU;8755;python, animações, live de python, dunossauro, Programação Python, Tutorial Python, Aprendendo Python, Python para iniciantes, Perguntas e respostas Python, Live Python, Codificação Python, Python dicas e truques, Python avançado, Python intermediário, Python para especialistas, Programação em Python, Bibliotecas Python, Python perguntas frequentes, Python tutorial ao vivo, Programação ao vivo, Desenvolvimento Python, Curso Python, Python 2023
Python? Pergunte o que quiser | Live de Python #244;20230717;http://youtu.be/lnMRINNJI7M;7500;python, animações, live de python, dunossauro, Programação Python, Tutorial Python, Aprendendo Python, Python para iniciantes, Perguntas e respostas Python, Live Python, Codificação Python, Python dicas e truques, Python avançado, Python intermediário, Python para especialistas, Programação em Python, Bibliotecas Python, Python perguntas frequentes, Python tutorial ao vivo, Programação ao vivo, Desenvolvimento Python, Curso Python, Python 2023
Animações com Manim | Live de Python #243;20230711;http://youtu.be/r_12JMnqcoA;7895;python, Manim, animações, live de python, dunossauro
